count,max,mean,median,min,percentile_25,percentile_50,percentile_75,std,substrate,Variance
790,1.34707295895,0.91610316023,0.888782024384,0.544683992863,0.802343994379,0.888781994581,0.985313266516,0.170575085429,gravel,0.0290958597691
3227,1.42075395584,0.726495317826,0.706914007664,0.434186995029,0.619681984186,0.706914007664,0.789614498615,0.159078416952,sand,0.02530594274
1655,1.61082804203,1.10386177363,1.06959497929,0.509922981262,0.92653799057,1.06959497929,1.2787719965,0.238789192435,gravel,0.0570202784238
656,1.44667804241,1.03262682659,1.03046751022,0.63523799181,0.867963984609,1.03046751022,1.19155102968,0.205940049776,gravel,0.0424113041017
732,1.27081894875,0.875327855511,0.837980031967,0.499406009912,0.749627754092,0.837980002165,1.01714149117,0.199568598753,sand,0.0398276256082
14639,1.4557390213,1.07827209477,1.10950195789,0.570290982723,0.945640981197,1.10950195789,1.22460252047,0.185466188642,boulders,0.0343977071294
2787,1.34379601479,1.07568438215,1.08170497417,0.658942997456,0.983249992132,1.08170497417,1.17745697498,0.125025434202,boulders,0.0156313591974
6703,1.3460880518,0.892835996942,0.886358976364,0.535153985023,0.799032986164,0.886358976364,0.986629992723,0.135082694416,sand,0.0182473343307
5204,1.33637094498,0.846633899404,0.849190473557,0.50226598978,0.742128744721,0.849190503359,0.949151992798,0.148305301587,sand,0.0219944624788
4314,1.40393900871,0.902454841341,0.921365976334,0.596428990364,0.753960505128,0.921366006136,1.02732101083,0.164672410462,gravel,0.0271170027674
4160,1.26552796364,0.789306581937,0.768394470215,0.579638004303,0.713758975267,0.768394500017,0.830601990223,0.107696557616,sand,0.0115985485223
13541,1.26034605503,0.904528016187,0.910426020622,0.544788002968,0.794459998608,0.910426020622,1.01738202572,0.144133045433,boulders,0.0207743347858
2049,1.17174303532,0.802372989682,0.770452976227,0.563113987446,0.692987978458,0.770452976227,0.895848989487,0.139109813952,sand,0.0193515403378
3252,1.18348705769,0.853492201914,0.830172002316,0.564014971256,0.75473600626,0.830172002316,0.932807505131,0.124150253624,gravel,0.0154132854749
1949,1.19962596893,0.826265447625,0.80498200655,0.547547996044,0.736414015293,0.80498200655,0.89866399765,0.139596533288,sand,0.019487192106
7415,0.922984004021,0.684698259967,0.689019024372,0.495965003967,0.621978014708,0.689019024372,0.733506023884,0.0829305137627,sand,0.00687747011295
6558,1.27291703224,0.815854457938,0.808604001999,0.570586979389,0.73372900486,0.808604001999,0.888116240501,0.108965545605,sand,0.011873490129
4833,1.31751298904,0.872322889186,0.887217998505,0.519559979439,0.757763028145,0.887217998505,0.982825994492,0.148380326897,gravel,0.0220167214101
2264,1.27118897438,0.822533866963,0.790598988533,0.496814996004,0.678717017174,0.790598988533,0.944930016994,0.175498482752,gravel,0.0307997174483
1749,1.10828697681,0.808716239079,0.805010974407,0.569922983646,0.749701023102,0.805010974407,0.875163018703,0.0889446638007,gravel,0.00791115321862
800,1.09768402576,0.768877868652,0.728654503822,0.53184401989,0.652376517653,0.728654503822,0.8901039958,0.137221800528,gravel,0.0188298225401
8676,1.0548479557,0.63285606036,0.606163024902,0.417973011732,0.527344256639,0.606163024902,0.721670985222,0.131301867691,sand,0.0172401804591
1402,0.959711015224,0.734312049332,0.727098464966,0.511053025723,0.652745738626,0.727098494768,0.786895990372,0.0901336412766,gravel,0.00812407328978
1868,1.17887401581,0.715195453652,0.729598999023,0.495018988848,0.615837737918,0.729598999023,0.797231242061,0.114223486728,sand,0.0130470049203
15619,1.28324902058,0.72397169263,0.685388982296,0.468840003014,0.618795990944,0.685388982296,0.795682519674,0.150638124416,sand,0.0226918445276
4568,0.98308801651,0.679813097738,0.680723011494,0.440342009068,0.578830003738,0.680723011494,0.770916268229,0.122131688817,sand,0.0149161494133
2899,0.953613996506,0.609065550284,0.605226993561,0.428600013256,0.519698500633,0.605226993561,0.674086004496,0.104456091398,sand,0.0109110750301
9446,1.45365595818,0.791917802923,0.734013974667,0.367608010769,0.597943007946,0.734013974667,0.983516767621,0.239725647434,sand,0.0574683860377
4659,1.27932500839,0.753811402494,0.710178017616,0.450901001692,0.625250995159,0.710178017616,0.871900975704,0.181518166034,gravel,0.0329488446003
5042,1.26181602478,0.904700515668,0.905982017517,0.486339002848,0.815790757537,0.905982017517,1.01565226912,0.141251666723,gravel,0.019952033352
2382,1.28976094723,0.806131229993,0.787578999996,0.493818998337,0.672967255116,0.787578999996,0.931692019105,0.166629194504,gravel,0.0277652884611
9558,1.22377300262,0.70195124503,0.685974955559,0.427891999483,0.627301976085,0.685974985361,0.770643517375,0.119651833386,gravel,0.0143165612326
7286,0.993887007236,0.59288743234,0.574101984501,0.442432999611,0.533879235387,0.574101984501,0.635469228029,0.0899350003487,sand,0.00808830428772
2827,1.04479801655,0.744771746219,0.739583015442,0.541086018085,0.648162007332,0.739583015442,0.828486502171,0.112204514416,sand,0.0125898530553
3066,1.19826602936,0.726014895604,0.726227998734,0.449265986681,0.615711256862,0.726227998734,0.821718737483,0.133491316264,sand,0.0178199315179
813,0.931563973427,0.725423327231,0.757718026638,0.517217993736,0.618009984493,0.757718026638,0.826242983341,0.112964029839,sand,0.0127608720375
1335,1.10440194607,0.817301432292,0.829967021942,0.517454981804,0.692466974258,0.829967021942,0.945423990488,0.144703047214,sand,0.020938971873
4558,0.904609978199,0.603637213245,0.585561990738,0.441401004791,0.521908760071,0.585561990738,0.666140511632,0.101224862043,sand,0.0102464726956
2392,0.95040500164,0.604425334611,0.556561470032,0.452847987413,0.51503098011,0.556561499834,0.681142255664,0.11791277158,sand,0.0139034217017
5080,0.787724971771,0.497842911848,0.487461000681,0.381359010935,0.452832996845,0.487461000681,0.536046028137,0.0633454102965,sand,0.00401264100563
3284,1.00710904598,0.640489399361,0.613319516182,0.355702996254,0.547451972961,0.61331948638,0.721966505051,0.113604624184,sand,0.012906010636
5164,1.33536505699,0.877917679034,0.892659008503,0.466343998909,0.714238494635,0.892659008503,1.03741598129,0.190529435654,gravel,0.0363014658506
1997,1.22637403011,0.728405107661,0.695738017559,0.460528999567,0.616946995258,0.695738017559,0.83151102066,0.15859363148,sand,0.025151939946
1507,1.1153960228,0.768134448096,0.738458991051,0.614956021309,0.687350004911,0.738458991051,0.818534970284,0.110416726374,sand,0.0121918534632
2575,1.23654997349,0.85091645176,0.840192973614,0.483135014772,0.742432504892,0.840192973614,0.953274995089,0.144540659134,sand,0.0208920021429
