substrate,10%,20%,25%,50%,75%,kurt,skew
sand,0.521,0.577,0.602,0.723,0.883,0.214,0.759
gravel,0.77,0.87,0.914,1.105,1.307,-0.645,0.021
boulders,0.701,0.814,0.862,1.103,1.355,-0.944,0.014
