substrate,10%,20%,25%,50%,75%,kurt,skew
sand,0.519,0.589,0.615,0.793,1.073,-1.048,0.377
gravel,,,,,,,
boulders,0.444,0.486,0.501,0.58,0.67,1.048,0.891
